id,created_at,text
739348378916683776,2016-06-05 06:49:24,RT @Pune16Sanjay: Hon PM Naresnda Modi -  India's youth is our greatest assets #YuvaShakti
739348378463526912,2016-06-05 06:49:24,"RT @girirajsinghbjp: Modi-Obama to discuss clean energy partnership, defence cooperation &amp; economic growth priorities
https://t.co/f08MM63d…"
739348325552553984,2016-06-05 06:49:11,"RT @ANI_news: PM Modi is the best PM, he sat with us, asked us about our troubles: India worker in Doha #ModiInQatar https://t.co/xvYXT3wLPs"
739348279758979072,2016-06-05 06:49:00,"RT @KBByju: Sir, also remind them that Modi is independent India's first PM to be treated like this https://t.co/9FHvtu39JB"
739348267599683584,2016-06-05 06:48:58,RT @TimesNow: PM Modi addresses business leaders. Praises role of Emir of Qatar in promoting India Qatar business ties https://t.co/gF8AEVm…
739348265838206976,2016-06-05 06:48:57,"RT @DelhiTalwar: ""Alls not well in Modi's Gujarat"".... insightful.... https://t.co/VsDA3ENH4Y"
739348220547989505,2016-06-05 06:48:46,RT @ahmedpatel: So Modi Govt is not being honest on exact wheat output.For them exaggeration is an old habit which dies hard https://t.co/Q…
739348107343826944,2016-06-05 06:48:19,RT @ndtv: India is a land of opportunities. I've come to personally invite you to take advantage of them: PM Modi in Qatar https://t.co/5tc…
739348084820463616,2016-06-05 06:48:14,"RT @milan_megastar: India's Biggest Disappointnents AAP&amp;Congress Really Disappointed By The Growth Of An InspiringWorldLeader ""Mr.Modi"".

#…"
739348076523966464,2016-06-05 06:48:12,"RT @withcongressMH: BJP 'ally' Shiv Sena criticises Narendra Modi government on multiple issues
Even allies are shouting
#RIPAchcheDin 
 ht…"
739348053769883649,2016-06-05 06:48:07,RT @iSanjanaPatel: Richness of poor is their attitude to pay back loans: PM Modi on Mudra Yojana. #YuvaShakti  https://t.co/P0azPmnFD0
739348033255530498,2016-06-05 06:48:02,#Modi Government Strengthening India's #Farmers https://t.co/lqyWp3z9V4
739348031804346368,2016-06-05 06:48:01,"RT @NaMo_Govt: #MudraYojana has benefited over 3.5 crore budding entrepreneurs across the country: PM Modi #TransformingIndia 
https://t.co…"
739348017682075648,2016-06-05 06:47:58,"RT @KBByju: Sir, also remind them that Modi is independent India's first PM to be treated like this https://t.co/9FHvtu39JB"
739347977160904704,2016-06-05 06:47:48,RT @ndtv: India is a land of opportunities. I've come to personally invite you to take advantage of them: PM Modi in Qatar https://t.co/5tc…
739347974191349761,2016-06-05 06:47:48,RT @TimesNow: PM Modi addresses business leaders. Praises role of Emir of Qatar in promoting India Qatar business ties https://t.co/gF8AEVm…
739347957254750208,2016-06-05 06:47:44,"RT @mahcongress: FIIs turning back towards India. Economy in serious peril. 
#Modinomics has incontrovertibly failed. 
#JagoIndiaJago
https…"
739347949465915392,2016-06-05 06:47:42,RT @LillyMaryPinto: India likely to become permanent member of MTCR within THIS WEEK after PM Modi visits US. https://t.co/nycvlUZx7g
739347941140385792,2016-06-05 06:47:40,RT @TimesNow: PM Modi addresses business leaders. Praises role of Emir of Qatar in promoting India Qatar business ties https://t.co/gF8AEVm…
