id,created_at,text
739309966276722690,2016-06-05 04:16:46,@katjuPCI #BJPAcceptsDawoodLinks Modi agent of Pakistan martyrs our soldiers daily
739309831555813378,2016-06-05 04:16:14,RT @INCIndia: How wonderful was the biryani in Lahore that Modi Govt has given a clean chit to Pakistan on Pathankot Attack. #AccheDin4Pak?
739309816552775682,2016-06-05 04:16:10,"RT @INCIndia: Diplomacy and Statecraft are delicate issues, Modi government lacks both in dealing with Pakistan. Clean chit to Pakistan? #A…"
739309804242472960,2016-06-05 04:16:07,"RT @WithCongKerala: By giving clean chit to Pakistan, Modi govt has betrayed the faith of all those who laid down their life for the nation…"
739309788136366080,2016-06-05 04:16:03,RT @IYC: The pre poll aggression of PM Modi against Pakistan was just in his words not in action  #AccheDin4Pak
739309476663070720,2016-06-05 04:14:49,"RT @GauravPandhi: Till date PM Modi hasn't named Pakistan, for attacking India in Pathankot. Prefixed or he was always convinced? https://t…"
739309462737944576,2016-06-05 04:14:46,"RT @GauravPandhi: Step 1: Pak Gives Clean Chit to Mazood Azhar 
Step 2: India Gives Clean Chit to Pakistan. 
Wow! 👏👏 #AccheDin4Pak
https://…"
739308349506756608,2016-06-05 04:10:20,"RT @tufailelif: Discuss the US's Pakistan policy ---&gt; Ahead of Modi’s visit, India and US to discuss new cooperation on defence https://t.c…"
739307809909641216,2016-06-05 04:08:12,"#TheDailyFix: Modi's chance to use America against Pakistan, plus nine other weekend reads https://t.co/rpFxBoNhtG https://t.co/FIBmm7uqgJ"
739307338272669696,2016-06-05 04:06:19,"RT @IYC: By giving clean chit to Pakistan, Modi govt has betrayed the faith of all those who laid down their life for the nation #AccheDin4…"
739307294496722944,2016-06-05 04:06:09,RT @IYC: The pre poll aggression of PM Modi against Pakistan was just in his words not in action  #AccheDin4Pak
739306471897190401,2016-06-05 04:02:53,"@dhume if that is the case modi should definitiley expel rajan,they could invt those funds in developed n.korea,cuba or pakistan."
739306150114430977,2016-06-05 04:01:36,"RT @tufailelif: Discuss the US's Pakistan policy ---&gt; Ahead of Modi’s visit, India and US to discuss new cooperation on defence https://t.c…"
739303371883024384,2016-06-05 03:50:34,"RT @WithCongKerala: By giving clean chit to Pakistan, Modi govt has betrayed the faith of all those who laid down their life for the nation…"
739303371740303360,2016-06-05 03:50:34,"@manishgup71 Ye lo ab Afzal ki party PDP ke tattu Modi ke bhakt dusro ko bolege,bhai Pakistan ki to na chato kam se kam @sagsin2014"
739302907896422400,2016-06-05 03:48:43,RT @IYC: The pre poll aggression of PM Modi against Pakistan was just in his words not in action  #AccheDin4Pak
739302886262210560,2016-06-05 03:48:38,"RT @IYC: By giving clean chit to Pakistan, Modi govt has betrayed the faith of all those who laid down their life for the nation #AccheDin4…"
739302518463729668,2016-06-05 03:47:10,RT @i_me_my5elf: When will Centre wake up &amp; give Strong Reply to Pakistan? Is nation Pride Not Important for Modi now? #AccheDin4Pak https:…
739301693154725888,2016-06-05 03:43:53,@TimesNow pakistan fear from 56inch thump chester can only allow nia to visit bring modi #jumla
