id,created_at,text
739320604461932546,2016-06-05 04:59:02,"RT @AsYouNotWish: Also forgive Javed Akhtar for lighting candles for Ishrat Jahan, a Lashkar terrorist who was to blow Hindus up. https://t…"
739320581364043777,2016-06-05 04:58:57,"RT @UnPoliticalPrty: BREAKING NEWS @politico &lt;&lt;&lt; Democrat Propaganda

Democrat Donor is FUNDING #IllegalAlien Terrorist at Trump events

ht…"
739320558387617792,2016-06-05 04:58:51,"RT @rostomzavarian: #Turkey : #ISIS is NOT a Terrorist Organisation!  😱 Just a bunch of angry people! 
#WTF https://t.co/rSCBRboD8K"
739320518214574081,2016-06-05 04:58:42,@Amaka_Ekwo zoo is even insultive on animals dat lives in peace #nig is worst than zoo terrorist Buhari shuld free director then I will stp
739320510320939009,2016-06-05 04:58:40,Vehicles parked at unauthorised points may be clamped or mistaken for a terrorist and shot to pieces.
739320504570380288,2016-06-05 04:58:38,Terrorist? Tf
739320463692861440,2016-06-05 04:58:29,@IgbereTvNews D emergence of @MBuhari has given terrorist the ultimate power to kill us with impunity #freebiafra https://t.co/BlhNjL7JeW
739320447003725824,2016-06-05 04:58:25,"RT @GolanMay: Leftists say: Throwing stones at @idfonline soldiers is a legitimate resistance, so who's the real terrorist here ? https://t…"
739320364195557376,2016-06-05 04:58:05,RT @gerfingerpoken: (IBD) Hillary Ignored Nigeria's Terrorist Group #BokoHaram - @IBDeditorials -  https://t.co/M1t4k2q9Tu - https://t.co/G…
739320294423318529,2016-06-05 04:57:48,RT @TheMcBang: Every white person is a potential terrorist. At any moment he might acquire a mental illness and kill us all! https://t.co/6…
739320276127600640,2016-06-05 04:57:44,"Rep Hunter - Six Terrorist Illegals Caught Inside US, Five Released, ""Lost"" By DHS https://t.co/JoI4WdjMSJ via @httpstwittercomRickRWells"
739320266036219904,2016-06-05 04:57:41,"RT @rajnikantmisra: Pak Pujari Naseeruddin Shah #MustBoycott #Traitor, he also 
supported terrorist yakub... https://t.co/00GbfqBe33"
739320221828325376,2016-06-05 04:57:31,@OrientalTimes D emergence of @MBuhari has given terrorist the ultimate power to kill us with impunity #freebiafra https://t.co/9bGPY6FNIR
739320189410414593,2016-06-05 04:57:23,RT @creepingsharia: San Bernardino terrorist’s friend linked to Muslim group arrested for 2012 jihad plot https://t.co/zksENnR5CZ
739320185702735872,2016-06-05 04:57:22,"RT @rajnikantmisra: AAP is a B team of khangress and both are anti Hindus, Pro terrorist and legends in minority appeasement.Think on it ht…"
739320161816043521,2016-06-05 04:57:17,"Hailey - ""wasnt mahammed ali the terrorist""
Me- "" do you mean Osama bin Lawton""
Hailey- "" oh yeah him"" 
Me- ""your so stupid dont talk to me"""
739320150634201088,2016-06-05 04:57:14,RT @clellab1: @NkemdiMary @deathrowatitsf1 @NkirukaNistoran I guess he shouldn't act like a terrorist then. Then y'all can quit calling him…
739320144590053377,2016-06-05 04:57:13,South African shopping malls terrorist attack warning https://t.co/ICoOJXQuOe
739320143432425472,2016-06-05 04:57:12,America warns Nepal because it is shortly sending terrorist in Nepal to impose its hectic policy. @chinaorgcn @koreanet @hmunitedkingdom
739320140479660036,2016-06-05 04:57:12,"RT @lynn_lwrightpcd: CAIR needs to be abolished as a terrorist organization...
https://t.co/1O5gtvRVDY"
739320140446105601,2016-06-05 04:57:12,(IBD) Hillary Ignored Nigeria's Terrorist Group #BokoHaram - #PJNET 999 - https://t.co/SV3fzyFX2y - https://t.co/EYCjvE1Ehf
739320124067487745,2016-06-05 04:57:08,"RT @AmeriKraut: I still don't know anything about Dylan Roofs family and it raised a homicidal terrorist, but look at this... https://t.co/…"
739320123421429760,2016-06-05 04:57:07,RT @MissAmericaPie: CNN UNCOVERS TERRORIST WORKING SECURITY AT DC AIRPORT: https://t.co/K53PgHJUFr
739320116546965504,2016-06-05 04:57:06,"RT @HouseCracka: Judge on ""Trump U"" case is a part of terrorist La Raza, aka the Mexican KKK. - Discussionist https://t.co/R3l5J6ecCf via @…"
739320102709923840,2016-06-05 04:57:03,If ur a terrorist sympathiser then DO NOT sign this petition https://t.co/OMESvJbmUn #ISIS #Daesh #ISIL #IslamicState #Muslim #Islam #Allah
739320093826486273,2016-06-05 04:57:00,@FoxNews somehow this will be Obamas fault or he'll end up Muslim and a terrorist but if he's white he'll just be mentally ill
739320078504763392,2016-06-05 04:56:57,At least we tried... Realistic difficulty on Rainbow 6 Siege Terrorist Hunt: https://t.co/CqCHN1jAmQ via @YouTube
739320013371408384,2016-06-05 04:56:41,@familywriters1 D emergence of @MBuhari has given terrorist the ultimate power to kill us with impunity #freebiafra https://t.co/yrWYKSvS5f
739319998959738880,2016-06-05 04:56:38,RT @ajwsmall: Singaporean DefMin Ng - Perception gap on terrorist threat in Asia is being closed but still greater need to share intelligen…
739319996057145344,2016-06-05 04:56:37,"RT @mariamaiyed: And ppl think I'm a terrorist Becky, get over it https://t.co/ubD4UFOQsT"
739319985160474624,2016-06-05 04:56:35,"Terrorist V.S Counter Terrorist
😀😀😀💣💣💣 https://t.co/ms4nsrM0MP"
739319984539770880,2016-06-05 04:56:34,"""I thought Muhammad Ali was like a terrorist or something"" -Sara"
739319980265635842,2016-06-05 04:56:33,"RT @HichamYezza: ""Muhammad Ali would've been arrested as a radical extremist &amp; terrorist supporter under the Prevent Strategy"" @jahanmahmoo…"
739319955502534656,2016-06-05 04:56:27,"RT @mariamaiyed: And ppl think I'm a terrorist Becky, get over it https://t.co/ubD4UFOQsT"
