id,created_at,text
736602779876134913,2016-05-28 16:59:22,Poonam pandey loves Virat Kohli ... https://t.co/FQ4dcUwNtw
736602452544262144,2016-05-28 16:58:04,RT @IndiaToday: Wasim Akram picks his @IPL XI and has chosen Virat Kohli to lead his team. Have your favourite stars made the cut? https://…
736602440569487360,2016-05-28 16:58:01,RT @RCBTweets: VK has stormed past several records this season! Here's a look at them: https://t.co/sZncS3zOeN #RCBvSRH #PlayBold https://t…
736602172834480131,2016-05-28 16:56:58,"Virat Kohli better than AB de Villiers, says Shane Warne... https://t.co/fLnCefjfa5 https://t.co/KZ0JpdiGwv"
736602131596247041,2016-05-28 16:56:48,RT @RCBTweets: VK has stormed past several records this season! Here's a look at them: https://t.co/sZncS3zOeN #RCBvSRH #PlayBold https://t…
736602002701070336,2016-05-28 16:56:17,RT @ESPNcricinfo: Virat Kohli's raging form has not only spurred his team-mates but has also exceeded fans' expectations https://t.co/CzAMJ…
736601977363124224,2016-05-28 16:56:11,"RT @cricBC: Kohli does 100 squats a session. He may not be the best Indian cricketer ever but he is already the fittest.
https://t.co/JxITr…"
736601973672153088,2016-05-28 16:56:10,"Kohli does 100 squats a session. He may not be the best Indian cricketer ever but he is already the fittest.
https://t.co/JxITrQGLCu"
736601856932077568,2016-05-28 16:55:42,@aajtak Congrats Virat Kohli for ranking 03 in the world as Most Marketable Athletes
736601838280187904,2016-05-28 16:55:38,RT @ESPNcricinfo: Virat Kohli's raging form has not only spurred his team-mates but has also exceeded fans' expectations https://t.co/CzAMJ…
736601760442224640,2016-05-28 16:55:19,Virat Kohli Height and Weight https://t.co/5mUoqAksyN #ViratKohli
736601713021464576,2016-05-28 16:55:08,RT @Cricketracker: Legendary Pakistan bowler Wasim Akram admits that he would have been worried to bowl at Virat Kohli https://t.co/ZIqTDpt…
736601664514232321,2016-05-28 16:54:56,RT @HTSportsNews: #IPL2016 | Virat Kohli is the world’s best batsman right now: Geoff Lawson https://t.co/OWTCa0ATEm https://t.co/tZ63669lLo
736601635846164480,2016-05-28 16:54:50,RT @CricketNDTV: IPL Final: How Virat Kohli-led Royal Challengers Bangalore Became Favourites For Title https://t.co/5irJv70kVp
